keyword,count
análisis de adn,100
3disco,0
native bees,0
abejas nativas,0
aquaculture ponds manuring,0
abonado de estanques de acuicultura,0
absortion,0
absorción,8
essential oils,1
aceites esenciales,0
antioxidant activity,0
actividad antioxidante,0
aquaculture,3
acuicultura,0
aquaculture on aquatic resources,0
acuicultura sobre los recursos acuáticos,0
oncolytic adenovirus,0
adenovirus oncolítico,0
safety management,279
administración de seguridad,707
water management,35
administracion del agua,5
dna,120
adn,392
recombinant dna,0
adn recombinante,0
biocontrol agents,0
agentes de biocontrol,0
amplicon,0
amplicón,0
adsorption,1
adsorción,1
biochemical analysis,0
análisis bioquímico,0
agriculture,225
agricultura,75
development-supported agriculture,1
agricultura apoyada por el desarrollo,0
cellular agriculture,0
agricultura celular,0
conservation agriculture,3
agricultura de conservación,1
precision farming,1
agricultura de precisión,1
rural area agriculture,5
agricultura de zona rural,2
organic farming,125
agricultura ecológica,0
controlled environment agriculture,0
agricultura en ambiente controlado,0
family agriculture,2
agricultura familiar,1
hybrid farming,2
agricultura híbrida,0
smart agriculture,3
agricultura inteligente,4
organic agriculture,1
agricultura orgánica,0
peri-urban agriculture,0
agricultura periurbana,0
zero waste agriculture,0
agricultura sin residuos,0
sustainable agriculture,43
agricultura sostenible,7
urban agriculture,0
agricultura urbana,1
agrifood,2
agroalimentario,10
agrobacterium,0
agrobacteria,0
agrobiodiversity,0
agrobiodiversidad,0
agroecology,3
agroecología,2
agroforestry,3
agroforestería,1
agroinfiltration,0
agroinfiltración,0
agribusiness,60
agronegocios,5
agronomy,86
agronomía,19
coffee wastewater,0
aguas residuales del café,0
alkaloids,0
alcaloides,0
functional foods,0
alimentos funcionales,16
stock raw food materials,0
almacenar materias primas alimentarias,0
dna analysis,48
environment,1
ambiente,1
environmental threats,1
amenazas ambientales,0
phytochemical analysis,0
análisis fitoquímico,0
genetic analysis,0
análisis genético,0
antibacterials,0
antibacterianos,0
environmental analysis,13
análisis ambiental,112
polyclonal antibodies,0
anticuerpos policlonales,0
compositional analysis,0
análisis composicional,0
quantitative analysis,57
análisis cuantitativo,19
antimicrobials,0
antimicrobianos,1
food analysis,345
análisis de alimentos,306
value chains analysis,14
análisis de cadenas de valor,4
cost-effectiveness analysis,40
análisis de costo-efectividad,2
value chain analysis,0
análisis de la cadena de valor,21
policy analysis,137
análisis de políticas,476
crop production analysing,0
análisis de producción de cultivos.,10
social network analysis,2
análisis de redes sociales,117
soil analysis,20
análisis de suelos,32
aptamer,0
aptámero,0
econometric analysis,3
análisis econométrico,0
economics analysis,847
análisis económico,549
statistical analysis,585
análisis estadístico,564
rna,0
arn,0
forestry analysis,4
análisis forestal,8
functional analysis,180
análisis funcional,517
lactic acid bacteria,0
bacterias de ácido láctico,0
microbiological analysis,1
análisis microbiológico,60
microbiological analysis in food,0
análisis microbiológico en alimentos,52
chemical analysis,0
análisis químico,135
bacteriology,52
bacteriología,36
bioactivity,0
bioactividad,0
biocatalysis,0
biocatálisis,0
antibiotics,0
antibióticos,1
antibody,0
anticuerpo,0
monoclonal antibody,0
anticuerpo monoclonal,0
biocontrol,0
biodegradation,0
biodegradación,0
antioxidants,0
antioxidantes,0
natural antioxidants,0
