,BIOEC_MMC,keywords
1,3,3disco
2,1,native bees
3,1,abejas nativas
4,2,aquaculture ponds manuring
5,2,abonado de estanques de acuicultura
6,1,absortion
7,1,absorción
8,1,essential oils
9,1,aceites esenciales
10,2,antioxidant activity
11,2,actividad antioxidante
12,1,aquaculture
13,1,acuicultura
14,1,aquaculture on aquatic resources
15,1,acuicultura sobre los recursos acuáticos
16,2,oncolytic adenovirus
17,2,adenovirus oncolítico
18,1,safety management
19,1,administración de seguridad
20,1,water management
21,1,administracion del agua
22,1,dna
23,1,adn
24,1,recombinant dna
25,1,adn recombinante
26,1,biocontrol agents
27,1,agentes de biocontrol
28,1,amplicon
29,1,amplicón
30,1,adsorption
31,1,adsorción
32,1,biochemical analysis
33,1,análisis bioquímico
34,1,agriculture
35,1,agricultura
36,1,development-supported agriculture
37,1,agricultura apoyada por el desarrollo
38,1,cellular agriculture
39,1,agricultura celular
40,1,conservation agriculture
41,1,agricultura de conservación
42,1,precision farming
43,1,agricultura de precisión
44,1,rural area agriculture
45,1,agricultura de zona rural
46,1,organic farming
47,1,agricultura ecológica
48,1,controlled environment agriculture
49,1,agricultura en ambiente controlado
50,1,family agriculture
51,1,agricultura familiar
52,1,hybrid farming
53,1,agricultura híbrida
54,1,smart agriculture
55,1,agricultura inteligente
56,1,organic agriculture
57,1,agricultura orgánica
58,1,peri-urban agriculture
59,1,agricultura periurbana
60,1,zero waste agriculture
61,1,agricultura sin residuos
62,1,sustainable agriculture
63,1,agricultura sostenible
64,1,urban agriculture
65,1,agricultura urbana
66,1,agrifood
67,1,agroalimentario
68,1,agrobacterium
69,1,agrobacteria
70,1,agrobiodiversity
71,1,agrobiodiversidad
72,1,agroecology
73,1,agroecología
74,1,agroforestry
75,1,agroforestería
76,1,agroinfiltration
77,1,agroinfiltración
78,1,agribusiness
79,1,agronegocios
80,1,agronomy
81,1,agronomía
82,1,coffee wastewater
83,1,aguas residuales del café
84,1,alkaloids
85,1,alcaloides
86,1,functional foods
87,1,alimentos funcionales
88,2,stock raw food materials
89,2,almacenar materias primas alimentarias
90,1,dna analysis
91,1,análisis de adn
92,1,environment
93,1,ambiente
94,1,environmental threats
95,1,amenazas ambientales
96,1,phytochemical analysis
97,1,análisis fitoquímico
98,1,genetic analysis
99,1,análisis genético
100,1,antibacterials
101,1,antibacterianos
102,1,environmental analysis
103,1,análisis ambiental
104,1,polyclonal antibodies
105,1,anticuerpos policlonales
106,1,compositional analysis
107,1,análisis composicional
108,1,quantitative analysis
109,1,análisis cuantitativo
110,1,antimicrobials
111,1,antimicrobianos
112,1,food analysis
113,1,análisis de alimentos
114,1,value chains analysis
115,1,análisis de cadenas de valor
116,1,cost-effectiveness analysis
117,1,análisis de costo-efectividad
118,1,value chain analysis
