BIOEC_BAG,BIOEC_MMC,data_type,sectors,skill_category,keyword_en_ori,keyword_en_mod,keyword_en_minusc,keyword_es,keyword_es_minusc,keyword_pt_minusc,keyword_top,source,Comment,hub_challenge
,0,Project,,,100K Pathogen Genome Project,,100k pathogen genome project,Proyecto Genoma de Patógenos 100K,proyecto genoma de patógenos 100k,,,http://dbpedia.org/resource/100K_Pathogen_Genome_Project,,
,0,Substance or compound,,,3-Arylpropiolonitriles,,3-arylpropiolonitriles,3-arilpropiolonitrilos,3-arilpropiolonitrilos,,,http://dbpedia.org/resource/3-Arylpropiolonitriles,,
,0,,,,african genome sequencing,,african genome sequencing,secuenciación del genoma africano,secuenciación del genoma africano,,,Linkedin,,
,0,,Transversal,,Chocolate industry,,chocolate industry,industria del chocolate,industria del chocolate,,,http://dbpedia.org/resource/Chocolate_industry,,
,0,,Transversal,,Competitions and prizes in biotechnology,,competitions and prizes in biotechnology,Concursos y premios en biotecnología,concursos y premios en biotecnología,,,http://dbpedia.org/resource/Competitions_and_prizes_in_biotechnology,,
,0,,Residuos,,Abandoned footwear,,abandoned footwear,Calzado abandonado,calzado abandonado,,,https://dbpedia.org/page/Waste,,
,0,,,,Activism industry,,activism industry,Industria del activismo,industria del activismo,,,http://dbpedia.org/resource/Activism_industry,,
,0,,,,Advertising industry,,advertising industry,Industria de la publicidad,industria de la publicidad,,,http://dbpedia.org/resource/Advertising_industry,,
,0,,Piscícola,,Fillet fish,,fillet fish,filete de pescado,filete de pescado,,,deloitte_2022_bioeconomy_skills,,
,3,Technology or method,Transversal,Técnica especializada,3DISCO,,3disco,3DISCO,3disco,3discoteca,,http://dbpedia.org/resource/3DISCO,,
1,1,,Agro,Técnica especializada,Native Bees,,native bees,Abejas Nativas,abejas nativas,abelhas nativas,,ResearchGate,,
,2,,Piscícola,Técnica especializada,Aquaculture ponds manuring,,aquaculture ponds manuring,Abonado de estanques de acuicultura,abonado de estanques de acuicultura,adubação de tanques de aquicultura,,deloitte_2022_bioeconomy_skills,,
,1,,Transversal,Técnica especializada,Absortion,,absortion,Absorción,absorción,absorção,,Linkedin,,
1,1,,Transversal,Técnica especializada,Essential Oils,,essential oils,Aceites esenciales,aceites esenciales,óleos essenciais,1,ResearchGate,,
