word,word_link,tree
a tiempo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=960&/tiempo,Inicio | Historia. Tiempo y espacio | tiempo | a tiempo
aau,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=964&/aau,Inicio | Organismos Internacionales | organizaciones no gubernamentales | aau
abandono escolar,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=966&/abandono-escolar,Inicio | Educación | alumnos | abandono escolar
abastecimiento de agua,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=969&/abastecimiento-de-agua,Inicio | Tecnología I | ingenieria civil | abastecimiento de agua
abdomen,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=982&/abdomen,Inicio | Ciencias Biológicas | anatomia | partes del cuerpo | abdomen
abedul,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=986&/abedul,Inicio | Ciencias Biológicas | organismos vivos | plantas (botanica) | arboles | abedul
aberraciones cromosomicas,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=989&/aberraciones-cromosomicas,Inicio | Ciencias Biológicas | biologia | citologia | citogenetica | aberraciones cromosomicas
abeto (arbol),http://vocabularios.caicyt.gov.ar/spines/index.php?tema=993&/abeto-arbol,Inicio | Ciencias Biológicas | organismos vivos | plantas (botanica) | arboles | abeto (arbol)
ablacion quirurgica,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=995&/ablacion-quirurgica,Inicio | Medicina. Sanidad. Situaciones de peligro | cirugia | ablacion quirurgica
ablandamiento del agua,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=11494&/ablandamiento-del-agua,Inicio | ablandamiento del agua
tratamiento de agua,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1353&/tratamiento%20de%20agua,Inicio | Tecnología I | ingenieria civil | abastecimiento de agua | tratamiento de agua
abogados,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=999&/abogados,Inicio | Recursos humanos. Personal. Empleo | cualificaciones | expertos | juristas | abogados
abono,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1005&/abono,Inicio | Agricultura. Alimentación | quimica agricola | fertilizantes | abono
abono artificial,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=8519&/abono-artificial,Inicio | abono artificial
