sectors,keyword_en,keyword_es,keyword_pt
Transversal,3disco,3disco,3discoteca
Agro,native bees,abejas nativas,abelhas nativas
Piscícola,aquaculture ponds manuring,abonado de estanques de acuicultura,adubação de tanques de aquicultura
Transversal,absortion,absorción,absorção
Transversal,essential oils,aceites esenciales,óleos essenciais
Transversal,antioxidant activity,actividad antioxidante,atividade antioxidante
Piscícola,aquaculture,acuicultura,aquicultura
Piscícola,aquaculture on aquatic resources,acuicultura sobre los recursos acuáticos,aquicultura em recursos aquáticos
Salud,oncolytic adenovirus,adenovirus oncolítico,adenovírus oncolítico
Transversal,safety management ,administración de seguridad ,gestão da segurança 
Transversal,water management,administracion del agua,gerência de água
Transversal,dna,adn,ADN
Biotecnología,recombinant dna,adn recombinante,DNA recombinante
Biotecnología,biocontrol agents,agentes de biocontrol,agentes de biocontrole
Biotecnología,amplicon,amplicón,amplicon
Transversal,adsorption,adsorción,adsorção
Biotecnología,biochemical analysis,análisis bioquímico,análise bioquímica
Agro,agriculture,agricultura,agricultura
Agro,development-supported agriculture,agricultura apoyada por el desarrollo,agricultura apoiada pelo desenvolvimento
Agro,cellular agriculture,agricultura celular,agricultura celular
Agro,conservation agriculture,agricultura de conservación,agricultura de conservação
Agro,precision farming,agricultura de precisión,Agricultura de precisão
Agro,rural area agriculture,agricultura de zona rural,agricultura na área rural
Agro,organic farming,agricultura ecológica,Agricultura orgânica
Agro,controlled environment agriculture,agricultura en ambiente controlado,agricultura ambiente controlado
Agro,family agriculture,agricultura familiar,agricultura familiar
Agro,hybrid farming,agricultura híbrida,agricultura híbrida
Agro,smart agriculture,agricultura inteligente,agricultura inteligente
Agro,organic agriculture,agricultura orgánica,Agricultura orgânica
Agro,peri-urban agriculture,agricultura periurbana,agricultura periurbana
Agro,zero waste agriculture,agricultura sin residuos,agricultura com desperdício zero
Agro,sustainable agriculture,agricultura sostenible,Agricultura sustentável
Agro,urban agriculture,agricultura urbana,agricultura urbana
Agro,agrifood,agroalimentario,agroalimentar
Agro,agrobacterium,agrobacteria,agrobactéria
Agro,agrobiodiversity,agrobiodiversidad,agrobiodiversidade
Agro,agroecology,agroecología,agroecologia
Agro,agroforestry,agroforestería,agrossilvicultura
Agro,agroinfiltration,agroinfiltración,agroinfiltração
Agro,agribusiness,agronegocios,agronegócio
Agro,agronomy,agronomía,agronomia
Residuos,coffee wastewater,aguas residuales del café,águas residuais de café
Transversal,alkaloids,alcaloides,alcalóides
Salud,functional foods,alimentos funcionales,alimentos funcionais
Transversal,stock raw food materials,almacenar materias primas alimentarias,estocar matérias-primas alimentares
Biotecnología,dna analysis,análisis de adn,análise de DNA
Transversal,environment,ambiente,ambiente
Transversal,environmental threats,amenazas ambientales,ameaças ambientais
Biotecnología,phytochemical analysis,análisis fitoquímico,análise fitoquímica
Biotecnología,genetic analysis,análisis genético,análise genética
Biotecnología,antibacterials,antibacterianos,antibacterianos
Transversal,environmental analysis,análisis ambiental,análise ambiental
Biotecnología,polyclonal antibodies,anticuerpos policlonales,anticorpos policlonais
Transversal,compositional analysis,análisis composicional,análise composicional
Transversal,quantitative analysis,análisis cuantitativo,análise quantitativa
Biotecnología,antimicrobials,antimicrobianos,antimicrobianos
Agro,food analysis,análisis de alimentos,análise de alimentos
Transversal,value chains analysis,análisis de cadenas de valor,análise de cadeias de valor
Transversal,cost-effectiveness analysis,análisis de costo-efectividad,análise de custo-efetividade
Transversal,value chain analysis,análisis de la cadena de valor,análise da cadeia de valor
Transversal,policy analysis,análisis de políticas,análise política
Agro,crop production analysing,análisis de producción de cultivos.,análise de produção agrícola
Transversal,social network analysis,análisis de redes sociales,análise de redes sociais
Agro,soil analysis,análisis de suelos,análise de solo
Biotecnología,aptamer,aptámero,aptâmero
Transversal,econometric analysis,análisis econométrico,análise econométrica
Transversal,economics analysis,análisis económico,análise econômica
Transversal,statistical analysis,análisis estadístico,análise estatística
Biotecnología,rna,arn,ana
