sectors,keyword_en
Transversal,3disco
Agro,native bees
Piscícola,aquaculture ponds manuring
Transversal,absortion
Transversal,essential oils
Transversal,antioxidant activity
Piscícola,aquaculture
Piscícola,aquaculture on aquatic resources
Salud,oncolytic adenovirus
Transversal,safety management 
Transversal,water management
Transversal,dna
Biotecnología,recombinant dna
Biotecnología,biocontrol agents
Biotecnología,amplicon
Transversal,adsorption
Biotecnología,biochemical analysis
Agro,agriculture
Agro,development-supported agriculture
Agro,cellular agriculture
Agro,conservation agriculture
Agro,precision farming
Agro,rural area agriculture
Agro,organic farming
Agro,controlled environment agriculture
Agro,family agriculture
Agro,hybrid farming
Agro,smart agriculture
Agro,organic agriculture
Agro,peri-urban agriculture
Agro,zero waste agriculture
Agro,sustainable agriculture
Agro,urban agriculture
Agro,agrifood
Agro,agrobacterium
Agro,agrobiodiversity
Agro,agroecology
Agro,agroforestry
Agro,agroinfiltration
Agro,agribusiness
Agro,agronomy
Residuos,coffee wastewater
Transversal,alkaloids
Salud,functional foods
Transversal,stock raw food materials
Biotecnología,dna analysis
Transversal,environment
Transversal,environmental threats
Biotecnología,phytochemical analysis
Biotecnología,genetic analysis
Biotecnología,antibacterials
Transversal,environmental analysis
Biotecnología,polyclonal antibodies
Transversal,compositional analysis
Transversal,quantitative analysis
Biotecnología,antimicrobials
Agro,food analysis
Transversal,value chains analysis
Transversal,cost-effectiveness analysis
Transversal,value chain analysis
Transversal,policy analysis
Agro,crop production analysing
Transversal,social network analysis
Agro,soil analysis
Biotecnología,aptamer
Transversal,econometric analysis
Transversal,economics analysis
Transversal,statistical analysis
Biotecnología,rna
Forestal,forestry analysis
Transversal,functional analysis
Biotecnología,lactic acid bacteria
Transversal,microbiological analysis
Transversal,microbiological analysis in food
Transversal,chemical analysis
Biotecnología,bacteriology
Biotecnología,bioactivity
Biotecnología,biocatalysis
Salud,antibiotics
Salud,antibody
Salud,monoclonal antibody
Biotecnología,biocontrol
Biotecnología,biodegradation
Transversal,antioxidants
Transversal,natural antioxidants
Transversal,anthocyanins
Agro,apiculture
Biotecnología,biostimulation
Transversal,l-ribonucleic acid aptamer
Transversal,harmony with nature
Biotecnología,biofabrication
Biotecnología,biofunctionalisation
Transversal,archaeobotany
Transversal,sustainable architecture
Transversal,bacteria
Biotecnología,biohydrometallurgy
Biotecnología,bioinformatics
Biotecnología,bioinstrumentation
Transversal,bacteriology
Biotecnología,molecular cell biology
Transversal,nature based
Transversal,ncbi database
Residuos,green waste
Biotecnología,engineering biology
Transversal,ecological goods and services
Biotecnología,molecular biology
Agro,plant reproductive biology
Transversal,bioacoustics
Energía,biochar
Biotecnología,synthetic biology
Biotecnología,polymeric biomaterials
Transversal,bioscience
Energía,biofuel
Salud,biocompatibility
Biotecnología,bionanotechnology
Biotecnología,bioprospecting
Transversal,microbial biodegradation
Energía,biodiesel
Energía,biodigestate
Energía,biodigestates
Transversal,biodiversity
Agro,agricultural biodiversity
Agro,plant harvesting
Transversal,bioeconomy
Transversal,bioelectronics
Energía,bioenergy
Transversal,biostatistics
Biotecnología,bioprospection
Transversal,bioethics
Biotecnología,bioreactor
Transversal,biomanufacturing
Salud,biopharmaceutical
Agro,biofertilizers
Transversal,biophysics
Biotecnología,bioreactor
Energía,biohydrogen
Biotecnología,biorefining
Biotecnología,biorefinery
Biotecnología,next generation bio-refineries
Agro,bioinputs
Salud,biolegend
Agro,bioleaching
Transversal,biology
Transversal,applied biology
Biotecnología,bioremediation 
Transversal,combinatorial biology
Transversal,computational biology
Transversal,conservation biology
Piscícola,biology of aquatic ecology
Biotecnología,environmental bioremediation
Transversal,reproduction biology
Piscícola,fish biology
Transversal,systems biology
Transversal,complex systems biology
Agro,soil biology
Transversal,floral biology
Forestal,forest biology
Transversal,fungal biology
Biotecnología,in situ bioremediation
Transversal,microbial molecular biology
Biotecnología,photonic biosensors
Transversal,reproductive biology
Agro,plant harvest methods
Biotecnología,bioseparation
Agro,nutrition of plant soil
Transversal,biomagnetics
Salud,biomarker 
Salud,biomarkers
Transversal,biomass
Transversal,biomaterials
Biotecnología,biosurfactant
Transversal,biomechanics
Salud,biomedicine
Energía,biomethane
Transversal,biomimetics
Transversal,biomimetic
Transversal,biomimicry
Biotecnología,environmental biotechnology
Transversal,bionics
Agro,biopesticide
Agro,microbial biopesticides
Transversal,biopiracy
Agro,bioplastics
Transversal,biopolymerisation
Transversal,biopolymers
Transversal,bioprocessor
Transversal,bioprocess
Transversal,bioproducts
Biotecnología,animal biotechnology
Biotecnología,fermentation biotechnology
Transversal,biochemistry
Transversal,analytical biochemistry
Agro,animal biochemistry
Transversal,protein biochemistry
Agro,plant nutrition
Transversal,biochemicals
Biotecnología,mushroom biotechnology
Biotecnología,industrial biotechnology
Transversal,algae bioreactor
Agro,plant protection
Biotecnología,biotransducer
Biotecnología,biotransformation
Biotecnología,biotransformation
Biotecnología,biovalorization
Biotecnología,good laboratory practice (glp)
Biotecnología,enzymatic catalysis
Transversal,biorobotics
Agro,livestock biosecurity
Biotecnología,life sciences
Biotecnología,reaction kinetics
Biotecnología,cytogenetics
Transversal,biosimilar
Transversal,biosynthesis
Biotecnología,flow cytometry
Transversal,biotechnology
Agro,agricultural biotechnology
Biotecnología,cloning
Biotecnología,molecular cloning
Biotecnología,in vitro compartmentalization
Biotecnología,bioactive compounds
Forestal,forest biotechnology
Biotecnología,bacterial conjugation
Transversal,microbial biotechnology
Biotecnología,biological control
Biotecnología,conversion of biomass
Biotecnología,crispr
Biotecnología,chromatography
Biotecnología,liquid chromatography
Agro,botany
Agro,good agricultural practices
Biotecnología,high-performance liquid chromatography (hplc)
Transversal,supply chain
Agro,food quality
Transversal,water quality
Piscícola,aquaculture water quality
Agro,callus 
Transversal,climate change
Agro,cultured meat
Biotecnología,cell culture
Agro,fertiliser catalysts
Transversal,microbial electrolysis cell
Salud,adult stem cell
Salud,stem cells
Salud,embryonic stem cell
Salud,induced stem cells
Residuos,coal ash
Residuos,wood ash
Transversal,sustainable certification
Biotecnología,bacterial cell culture
Biotecnología,axenic culture
Salud,biomedical science
Transversal,biomaterial science
Agro,food science
Salud,medical science
Biotecnología,botanical data
Biotecnología,molecular diagnostics
Transversal,circularity
Transversal,circles of sustainability
