sectors,keyword_pt
Transversal,3discoteca
Agro,abelhas nativas
Piscícola,adubação de tanques de aquicultura
Transversal,absorção
Transversal,óleos essenciais
Transversal,atividade antioxidante
Piscícola,aquicultura
Piscícola,aquicultura em recursos aquáticos
Salud,adenovírus oncolítico
Transversal,gestão da segurança 
Transversal,gerência de água
Transversal,ADN
Biotecnología,DNA recombinante
Biotecnología,agentes de biocontrole
Biotecnología,amplicon
Transversal,adsorção
Biotecnología,análise bioquímica
Agro,agricultura
Agro,agricultura apoiada pelo desenvolvimento
Agro,agricultura celular
Agro,agricultura de conservação
Agro,Agricultura de precisão
Agro,agricultura na área rural
Agro,Agricultura orgânica
Agro,agricultura ambiente controlado
Agro,agricultura familiar
Agro,agricultura híbrida
Agro,agricultura inteligente
Agro,Agricultura orgânica
Agro,agricultura periurbana
Agro,agricultura com desperdício zero
Agro,Agricultura sustentável
Agro,agricultura urbana
Agro,agroalimentar
Agro,agrobactéria
Agro,agrobiodiversidade
Agro,agroecologia
Agro,agrossilvicultura
Agro,agroinfiltração
Agro,agronegócio
Agro,agronomia
Residuos,águas residuais de café
Transversal,alcalóides
Salud,alimentos funcionais
Transversal,estocar matérias-primas alimentares
Biotecnología,análise de DNA
Transversal,ambiente
Transversal,ameaças ambientais
Biotecnología,análise fitoquímica
Biotecnología,análise genética
Biotecnología,antibacterianos
Transversal,análise ambiental
Biotecnología,anticorpos policlonais
Transversal,análise composicional
Transversal,análise quantitativa
Biotecnología,antimicrobianos
Agro,análise de alimentos
Transversal,análise de cadeias de valor
Transversal,análise de custo-efetividade
Transversal,análise da cadeia de valor
Transversal,análise política
Agro,análise de produção agrícola
Transversal,análise de redes sociais
Agro,análise de solo
Biotecnología,aptâmero
Transversal,análise econométrica
Transversal,análise econômica
Transversal,análise estatística
Biotecnología,ana
Forestal,análise florestal
Transversal,análise funcional
Biotecnología,bactérias do ácido láctico
Transversal,análise microbiológica
Transversal,análise microbiológica em alimentos
Transversal,análises químicas
Biotecnología,bacteriologia
Biotecnología,bioatividade
Biotecnología,biocatálise
Salud,antibióticos
Salud,anticorpo
Salud,anticorpo monoclonal
Biotecnología,biocontrole
Biotecnología,biodegradação
Transversal,antioxidantes
Transversal,antioxidantes naturais
Transversal,antocianinas
Agro,apicultura
Biotecnología,bioestimulação
Transversal,aptâmero de ácido l-ribonucléico
Transversal,harmonia com a natureza
Biotecnología,biofabricação
Biotecnología,biofuncionalização
Transversal,arqueobotânica
Transversal,arquitetura sustentável
Transversal,bactérias
Biotecnología,biohidrometalurgia
Biotecnología,bioinformática
Biotecnología,bioinstrumentação
Transversal,bacteriologia
Biotecnología,biologia celular molecular
Transversal,baseado na natureza
Transversal,banco de dados ncbi
Residuos,resíduos verdes
Biotecnología,biologia de engenharia
Transversal,bens e serviços ecológicos
Biotecnología,biologia molecular
Agro,biologia reprodutiva de plantas
Transversal,bioacústica
Energía,biochar
Biotecnología,biologia sintética
Biotecnología,biomateriais poliméricos
Transversal,biociências
Energía,biocombustível
Salud,biocompatibilidade
Biotecnología,bionanotecnologia
Biotecnología,bioprospecção
Transversal,biodegradação microbiana
Energía,biodiesel
Energía,biodigerir
Energía,biodigestados
Transversal,biodiversidade
Agro,biodiversidade agrícola
Agro,colheita de plantas
Transversal,bioeconomia
Transversal,bioeletrônica
Energía,bioenergia
Transversal,bioestatística
Biotecnología,bioprospecção
Transversal,bioética
Biotecnología,biorreator
Transversal,biofabricação
Salud,biofarmacêutico
Agro,biofertilizantes
Transversal,biofísica
Biotecnología,biorreator
Energía,biohidrogênio
Biotecnología,biorrefinação
Biotecnología,biorrefinaria
Biotecnología,biorrefinarias de próxima geração
Agro,bioinsumos
Salud,biolenda
Agro,biolixiviação
Transversal,biologia
Transversal,biologia aplicada
Biotecnología,biorremediação 
Transversal,biologia combinatória
Transversal,biologia Computacional
Transversal,biologia de conservação
Piscícola,biologia da ecologia aquática
Biotecnología,biorremediação ambiental
Transversal,biologia da reprodução
Piscícola,biologia dos peixes
Transversal,biologia de sistemas
Transversal,biologia de sistemas complexos
Agro,biologia do solo
Transversal,biologia floral
Forestal,biologia florestal
Transversal,biologia fúngica
Biotecnología,biorremediação in situ
Transversal,biologia molecular microbiana
Biotecnología,biossensores fotônicos
Transversal,biologia reprodutiva
Agro,métodos de colheita de plantas
Biotecnología,bioseparação
Agro,nutrição do solo vegetal
Transversal,biomagnetismo
Salud,biomarcador 
Salud,biomarcadores
Transversal,biomassa
Transversal,biomateriais
Biotecnología,biossurfactante
Transversal,biomecânica
Salud,biomedicina
Energía,biometano
Transversal,biomimética
Transversal,biomimético
Transversal,biomimética
Biotecnología,biotecnologia ambiental
Transversal,biônica
Agro,biopesticida
Agro,biopesticidas microbianos
Transversal,biopirataria
Agro,bioplásticos
Transversal,biopolimerização
Transversal,biopolímeros
Transversal,bioprocessador
Transversal,bioprocesso
Transversal,bioprodutos
Biotecnología,biotecnologia animal
Biotecnología,biotecnologia de fermentação
Transversal,bioquímica
Transversal,bioquímica analítica
Agro,bioquímica animal
Transversal,bioquímica de proteínas
Agro,nutrição vegetal
Transversal,bioquímicos
Biotecnología,biotecnologia de cogumelos
Biotecnología,biotecnologia industrial
Transversal,biorreator de algas
Agro,proteção de plantas
Biotecnología,biotransdutor
Biotecnología,biotransformação
Biotecnología,biotransformação
Biotecnología,biovalorização
Biotecnología,boas práticas de laboratório (glp)
Biotecnología,catálise enzimática
Transversal,biorobótica
Agro,biossegurança pecuária
Biotecnología,Ciências da Vida
Biotecnología,cinética de reação
Biotecnología,citogenética
Transversal,biossimilar
Transversal,biossíntese
Biotecnología,citometria de fluxo
Transversal,biotecnologia
Agro,biotecnologia agrícola
Biotecnología,clonagem
Biotecnología,clonagem molecular
Biotecnología,compartimentalização in vitro
Biotecnología,compostos bioativos
Forestal,biotecnologia florestal
Biotecnología,conjugação bacteriana
Transversal,biotecnologia microbiana
Biotecnología,controle biológico
Biotecnología,conversão de biomassa
Biotecnología,crocante
Biotecnología,cromatografia
Biotecnología,cromatografia liquida
Agro,botânica
Agro,boas práticas agrícolas
Biotecnología,cromatografia líquida de alta eficiência (hplc)
Transversal,cadeia de mantimentos
Agro,qualidade alimentar
Transversal,qualidade da água
Piscícola,qualidade da água da aquicultura
Agro,calo 
Transversal,das Alterações Climáticas
Agro,carne cultivada
Biotecnología,cultura de células
Agro,catalisadores de fertilizantes
Transversal,célula de eletrólise microbiana
Salud,célula-tronco adulta
Salud,células-tronco
Salud,célula-tronco embrionária
Salud,células-tronco induzidas
Residuos,cinza de carvão
Residuos,cinza de madeira
Transversal,certificação sustentável
